Items Report
"Sep 1, 2025 12:00 AM - Sep 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:00 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$45,893.62"
Net Sales,"$45,803.30"
COGS,"$12,186.33"
Gross Profit,"$32,870.59"
Gross Profit Margin,71.76%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Black Forest 1lb,$603.50,$603.50,26,0," "," ",-,$0.00,$0.00,1.32%,$23.21,$314.34,$289.16
,Ferrero Rocher 1lb,$455.84,$455.84,16,0," "," ",-,$0.00,$0.00,1.00%,$28.49,$228.64,$227.20
,Choco Delight 1lb,$321.86,$321.86,14,0," "," ",-,$0.00,$0.00,0.70%,$22.99,$169.26,$152.60
,White Forest 1lb,$317.88,$317.88,12,0," "," ",-,$0.00,$0.00,0.69%,$26.49,$164.88,$153.00
,Dark Forest 1LB,$274.90,$274.90,10,0," "," ",-,$0.00,$0.00,0.60%,$27.49,$142.90,$132.00
,Oreo Crunch 1lb,$274.90,$274.90,10,0," "," ",-,$0.00,$0.00,0.60%,$27.49,$142.90,$132.00
,Red Velvet 1lb,$274.90,$274.90,10,0," "," ",-,$0.00,$0.00,0.60%,$27.49,$142.90,$132.00
,Choco Chip Forest 1lb,$245.07,$245.07,9,0," "," ",-,$0.00,$0.00,0.54%,$27.23,$123.66,$121.41
,Pine Butterscotch 1lb,$211.92,$211.92,8,0," "," ",-,$0.00,$0.00,0.46%,$26.49,$109.92,$102.00
,Royal Chocolate 1lb,$199.43,$199.43,7,0," "," ",-,$0.00,$0.00,0.44%,$28.49,$103.88,$95.55
,Strawberry Delight 1lb,$166.69,$166.69,7,0," "," ",-,$0.00,$0.00,0.36%,$23.81,$84.63,$82.06
,Alphonso 1lb,$160.93,$160.93,7,0," "," ",-,$0.00,$0.00,0.35%,$22.99,$84.63,$76.30
,Choco Pie 1LB,$158.94,$158.94,6,0," "," ",-,$0.00,$0.00,0.35%,$26.49,$82.44,$76.50
,Juicy Pineapple 1lb,$137.94,$137.94,6,0," "," ",-,$0.00,$0.00,0.30%,$22.99,$72.54,$65.40
,Mango Cheese Cake 1lb,$61.88,$61.88,2,0," "," ",-,$0.00,$0.00,0.14%,$30.94,$0.00,$61.88
,Roasted Almond 1LB,$58.98,$58.98,2,0," "," ",-,$0.00,$0.00,0.13%,$29.49,$30.78,$28.20
Total (Cake 1LB),,"$5,547.47","$5,519.98",211,0,-," ",$0.00,-$27.49,$0.00,12.05%,$26.16,"$2,841.41","$2,678.57"

Cake 2LB
,Royal Cassatta 2LB,$831.01,$831.01,15,0," "," ",-,$0.00,$0.00,1.81%,$55.40,$445.35,$385.66
