Items Report
"Aug 1, 2025 12:00 AM - Aug 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:01 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$27,295.25"
Net Sales,"$27,215.86"
COGS,"$6,810.74"
Gross Profit,"$20,067.62"
Gross Profit Margin,73.74%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Ferrero Rocher 2 Lb,$227.96,$227.96,4,0," "," ",-,$0.00,$0.00,0.84%,$56.99,$118.76,$109.20
,Royal Cassatta 2LB,$217.96,$217.96,4,0," "," ",-,$0.00,$0.00,0.80%,$54.49,$118.76,$99.20
,Pine Butterscotch 2LB,$209.96,$204.96,4,0," "," ",-,-$5.00,$0.00,0.75%,$51.24,$109.96,$95.00
,Royal Chocolate 2LB,$113.98,$113.98,2,0," "," ",-,$0.00,$0.00,0.42%,$56.99,$59.38,$54.60
,Oreo Crunch 2 Lb,$109.98,$109.98,2,0," "," ",-,$0.00,$0.00,0.40%,$54.99,$57.18,$52.80
,Red Velvet 2LB,$109.98,$109.98,2,0," "," ",-,$0.00,$0.00,0.40%,$54.99,$57.18,$52.80
,Choco Pie 2LB,$104.98,$104.98,2,0," "," ",-,$0.00,$0.00,0.39%,$52.49,$54.98,$50.00
,Choco delight 2 lb,$91.98,$91.98,2,0," "," ",-,$0.00,$0.00,0.34%,$45.99,$48.38,$43.60
,Dark Forest 2LB,$54.99,$54.99,1,0," "," ",-,$0.00,$0.00,0.20%,$54.99,$29.69,$25.30
,Juicy Pineapple 2LB,$45.99,$45.99,1,0," "," ",-,$0.00,$0.00,0.17%,$45.99,$24.19,$21.80
,Strawberry Delight 2LB,$45.99,$45.99,1,0," "," ",-,$0.00,$0.00,0.17%,$45.99,$24.19,$21.80
Total (Cake 2LB),,"$1,928.13","$1,923.13",37,0,-," ",$0.00,-$5.00,$0.00,7.07%,$51.98,"$1,014.93",$908.20

Uncategorized
,Jeera Khari,$254.49,$254.49,51,0," "," ",-,$0.00,$0.00,0.94%,$4.99,$254.49,$0.00
,Surti Khari,$249.50,$244.01,50,1," "," ",-,-$0.50,-$4.99,0.90%,$4.98,$147.00,$97.01
,Buns Pav,$105.00,$105.00,28,0," "," ",-,$0.00,$0.00,0.39%,$3.75,$105.00,$0.00
,Methi Khari,$89.82,$89.32,18,0," "," ",-,-$0.50,$0.00,0.33%,$4.96,$54.00,$35.32
,Pistachio Nuts Cookies 150gm,$56.44,$55.89,20,0," "," ",-,-$0.55,$0.00,0.21%,$2.79,$33.20,$22.69
,Rasmalai 2LB,$51.99,$51.99,1,0," "," ",-,$0.00,$0.00,0.19%,$51.99,$0.00,$51.99
,Surati Nankhatai,$43.89,$43.89,11,0," "," ",-,$0.00,$0.00,0.16%,$3.99,$0.00,$43.89
,Cheese Chilly 150g,$43.78,$43.78,22,0," "," ",-,$0.00,$0.00,0.16%,$1.99,$0.00,$43.78
,Sandwich Bread S/W 800,$39.90,$39.90,10,0," "," ",-,$0.00,$0.00,0.15%,$3.99,$0.00,$39.90
,Truti Frutti Pound Cake,$34.90,$34.90,10,0," "," ",-,$0.00,$0.00,0.13%,$3.49,$0.00,$34.90
,Mini Schezwan Chakri.,$33.83,$33.63,17,0," "," ",-,-$0.20,$0.00,0.12%,$1.98,$0.00,$33.63
,Schezwan Paneer Roll-,$31.96,$31.96,4,0," "," ",-,$0.00,$0.00,0.12%,$7.99,$0.00,$31.96
,Mini Pizza 4pk,$27.39,$27.39,11,0," "," ",-,$0.00,$0.00,0.10%,$2.49,$0.00,$27.39
,Jeera Khari 200 Gm,$26.91,$26.91,9,0," "," ",-,$0.00,$0.00,0.10%,$2.99,$0.00,$26.91
,Methi Khari 200gm,$22.41,$22.41,9,0," "," ",-,$0.00,$0.00,0.08%,$2.49,$0.00,$22.41
,Veg. Grill Sandwich,$17.98,$17.98,2,0," "," ",-,$0.00,$0.00,0.07%,$8.99,$0.00,$17.98
,Vanilla Pound Cake,$17.45,$17.45,5,0," "," ",-,$0.00,$0.00,0.06%,$3.49,$12.45,$5.00
,Frosting,$16.00,$16.00,16,0," "," ",-,$0.00,$0.00,0.06%,$1.00,$8.00,$8.00
,Walnut Chocolate Brownie,$14.95,$14.95,5,0," "," ",-,$0.00,$0.00,0.05%,$2.99,$0.00,$14.95
,Royal Cassata,$13.47,$13.47,3,0," "," ",-,$0.00,$0.00,0.05%,$4.49,$7.41,$6.06
,Yellow Banana Wafer.,$12.45,$12.45,5,0," "," ",-,$0.00,$0.00,0.05%,$2.49,$0.00,$12.45
,Rasbhari Rasmalai),$8.98,$8.98,2,0," "," ",-,$0.00,$0.00,0.03%,$4.49,$5.00,$3.98
,Surti Farmas Biscuit 200gm,$8.97,$8.97,3,0," "," ",-,$0.00,$0.00,0.03%,$2.99,$0.00,$8.97
,Mango Tres Leches,$7.99,$7.99,1,0," "," ",-,$0.00,$0.00,0.03%,$7.99,$5.99,$2.00
,Cashew Bite,$6.98,$6.98,2,0," "," ",-,$0.00,$0.00,0.03%,$3.49,$0.00,$6.98
,Casatta Mousse,$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.02%,$5.99,$0.00,$5.99
,Masala Chakri 120gm,$3.98,$3.98,2,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$3.98
,Rasmalai Muffin.,$3.98,$3.98,2,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$3.98
