Items Report
"Dec 1, 2025 12:00 AM - Dec 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$41,041.45"
Net Sales,"$40,148.22"
COGS,"$11,171.97"
Gross Profit,"$27,851.42"
Gross Profit Margin,69.37%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,White Forest 1lb,$349.86,$349.86,14,0," "," ",-,$0.00,$0.00,0.87%,$24.99,$192.36,$157.50
,Alphonso 1lb,$336.61,$336.61,15,0," "," ",-,$0.00,$0.00,0.84%,$22.44,$181.35,$155.26
,Choco Delight 1lb,$277.40,$277.40,12,0," "," ",-,$0.00,$0.00,0.69%,$23.12,$145.08,$132.32
,Red Velvet 1lb,$259.90,$259.90,10,0," "," ",-,$0.00,$0.00,0.65%,$25.99,$142.90,$117.00
,Choco Chip Forest 1lb,$224.91,$224.91,9,0," "," ",-,$0.00,$0.00,0.56%,$24.99,$123.66,$101.25
,Juicy Pineapple 1lb,$189.44,$189.44,8,0," "," ",-,$0.00,$0.00,0.47%,$23.68,$96.72,$92.72
,Oreo Crunch 1lb,$181.93,$181.93,7,0," "," ",-,$0.00,$0.00,0.45%,$25.99,$100.03,$81.90
,Royal Chocolate 1lb,$170.60,$170.60,6,0," "," ",-,$0.00,$0.00,0.42%,$28.43,$89.04,$81.56
,Creamy Vanilla 1LB,$28.75,$28.75,1,0," "," ",-,$0.00,$0.00,0.07%,$28.75,$12.09,$16.66
Total (Cake 1LB),,"$5,886.85","$5,865.45",233,0,-," ",$0.00,-$21.40,$0.00,14.61%,$25.17,"$3,154.12","$2,711.33"

"Pastries "
,Rasbhari Rasmalai,$411.51,$409.80,91,0," "," ",-,-$1.71,$0.00,1.02%,$4.50,$224.77,$185.03
,Pine butterscotch,$399.63,$399.63,87,0," "," ",-,$0.00,$0.00,1.00%,$4.59,$214.89,$184.74
,Royal Chocolate,$349.11,$349.11,69,0," "," ",-,$0.00,$0.00,0.87%,$5.06,$0.00,$349.11
,Black Forest,$333.98,$327.36,82,0," "," ",-,-$6.62,$0.00,0.82%,$3.99,$179.58,$147.78
,Ferrero Rocher,$326.77,$324.52,53,0," "," ",-,-$2.25,$0.00,0.81%,$6.12,$174.37,$150.15
,Royal Cassatta,$291.74,$291.74,64,0," "," ",-,$0.00,$0.00,0.73%,$4.56,$175.36,$116.38
,Biscoff Cheese Cake,$275.13,$275.13,45,0," "," ",-,$0.00,$0.00,0.69%,$6.11,$0.00,$275.13
,Mango Cheese Cake,$255.30,$255.30,42,0," "," ",-,$0.00,$0.00,0.64%,$6.08,$0.00,$255.30
,Chocolate Chip,$247.47,$247.47,61,0," "," ",-,$0.00,$0.00,0.62%,$4.06,$0.00,$247.47
,Choco Delight,$223.44,$223.44,56,0," "," ",-,$0.00,$0.00,0.56%,$3.99,$122.64,$100.80
,Oreo Crunch,$209.58,$209.58,42,0," "," ",-,$0.00,$0.00,0.52%,$4.99,$115.08,$94.50
,Gulabjamun Cheesecake,$209.24,$209.24,34,0," "," ",-,$0.00,$0.00,0.52%,$6.15,$119.00,$90.24
