Items Report,,,,,,,,,,,,,,
"Mar 1, 2026 12:00 AM - Mar 31, 2026 11:59 PM",,,,,,,,,,,,,,
"Requested on: Apr 2, 2026 5:06 PM",,,,,,,,,,,,,,
Filters: Item Type = Revenue Items,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Categories: All,,,,,,,,,,,,,,
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders.",,,,,,,,,,,,,,
Items assigned to multiple categories are reported in just one category (the one created first).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gross Sales,"$39,424.46 ",,,,,,,,,,,,,
Net Sales,"$37,392.30 ",,,,,,,,,,,,,
COGS,"$10,221.82 ",,,,,,,,,,,,,
Gross Profit,"$25,478.94 ",,,,,,,,,,,,,
Gross Profit Margin,68.14%,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Choco Pie 2LB,$49.99 ,$39.99 ,1,0, , ,-,($10.00),$0.00 ,0.11%,$39.99 ,$27.49 ,$12.50 
Total (Cake 2LB),,"$6,446.64 ","$5,265.81 ",128,0,-, ,$0.00 ,"($1,180.83)",$0.00 ,14.08%,$41.14 ,"$3,469.24 ","$1,796.58 "
,,,,,,,,,,,,,,
Pastries ,,,,,,,,,,,,,,
,Rasbhari Rasmalai,$599.65 ,$599.65 ,129,0, , ,-,$0.00 ,$0.00 ,1.60%,$4.65 ,$318.63 ,$281.02 
,Chocolate Chip,$335.25 ,$335.25 ,83,0, , ,-,$0.00 ,$0.00 ,0.90%,$4.04 ,$0.00 ,$335.25 
,Oreo Crunch,$287.63 ,$287.63 ,57,0, , ,-,$0.00 ,$0.00 ,0.77%,$5.05 ,$156.18 ,$131.45 
,Choco Delight,$282.11 ,$282.11 ,69,0, , ,-,$0.00 ,$0.00 ,0.75%,$4.09 ,$151.11 ,$131.00 
,Royal Chocolate,$267.67 ,$267.67 ,53,0, , ,-,$0.00 ,$0.00 ,0.72%,$5.05 ,$0.00 ,$267.67 
,Royal Cassatta,$240.78 ,$240.78 ,52,0, , ,-,$0.00 ,$0.00 ,0.64%,$4.63 ,$142.48 ,$98.30 
,Ferrero Rocher,$237.33 ,$236.70 ,39,0, , ,-,($0.63),$0.00 ,0.63%,$6.07 ,$128.31 ,$108.39 
,Black Forest,$230.33 ,$230.33 ,55,0, , ,-,$0.00 ,$0.00 ,0.62%,$4.19 ,$120.45 ,$109.88 
,Mango Cheese Cake,$200.98 ,$200.98 ,32,0, , ,-,$0.00 ,$0.00 ,0.54%,$6.28 ,$0.00 ,$200.98 
,Juicy Pineapple,$197.05 ,$197.05 ,47,0, , ,-,$0.00 ,$0.00 ,0.53%,$4.19 ,$0.00 ,$197.05 
,Alphonso,$195.60 ,$195.60 ,48,0, , ,-,$0.00 ,$0.00 ,0.52%,$4.08 ,$0.00 ,$195.60 
,Pine butterscotch,$185.60 ,$185.60 ,40,0, , ,-,$0.00 ,$0.00 ,0.50%,$4.64 ,$98.80 ,$86.80 
,Biscoff Cheese Cake,$123.52 ,$123.52 ,20,0, , ,-,$0.00 ,$0.00 ,0.33%,$6.18 ,$0.00 ,$123.52 
,Strawberry Delight,$119.70 ,$119.28 ,30,0, , ,-,($0.42),$0.00 ,0.32%,$3.98 ,$65.70 ,$53.58 
,Choco Pie,$101.83 ,$101.83 ,17,0, , ,-,$0.00 ,$0.00 ,0.27%,$5.99 ,$0.00 ,$101.83 
,Gulabjamun Cheesecake,$99.15 ,$99.15 ,15,0, , ,-,$0.00 ,$0.00 ,0.27%,$6.61 ,$52.50 ,$46.65 
,White Forest,$97.12 ,$97.12 ,24,0, , ,-,$0.00 ,$0.00 ,0.26%,$4.05 ,$52.56 ,$44.56 
,Red Velvet,$91.30 ,$91.30 ,20,0, , ,-,$0.00 ,$0.00 ,0.24%,$4.57 ,$49.40 ,$41.90 
Total (Pastries ),,"$3,892.60 ","$3,891.55 ",830,0,-, ,$0.00 ,($1.05),$0.00 ,10.41%,$4.69 ,"$1,336.12 ","$2,555.43 "
,,,,,,,,,,,,,,
Cake 1LB,,,,,,,,,,,,,,
,Rasbhari rasmalai 1lb,$683.35 ,$557.03 ,25,0, , ,-,($126.32),$0.00 ,1.49%,$22.28 ,$357.25 ,$199.78 
,Ferrero Rocher 1lb,$593.78 ,$496.58 ,22,0, , ,-,($97.20),$0.00 ,1.33%,$22.57 ,$314.38 ,$182.20 
,Black Forest 1lb,$439.80 ,$413.40 ,20,0, , ,-,($26.40),$0.00 ,1.11%,$20.67 ,$241.80 ,$171.60 
,Choco Delight 1lb,$365.36 ,$320.47 ,16,0, , ,-,($44.89),$0.00 ,0.86%,$20.03 ,$193.44 ,$127.03 
,Royal Chocolate 1lb,$350.87 ,$302.27 ,13,0, , ,-,($48.60),$0.00 ,0.81%,$23.25 ,$192.92 ,$109.35 
,Royal Cassatta 1lb,$311.88 ,$265.08 ,12,0, , ,-,($46.80),$0.00 ,0.71%,$22.09 ,$171.48 ,$93.60 
,Choco Chip Forest 1lb,$274.89 ,$229.89 ,11,0, , ,-,($45.00),$0.00 ,0.61%,$20.90 ,$151.14 ,$78.75 
,Pine Butterscotch 1lb,$258.06 ,$221.43 ,10,0, , ,-,($36.63),$0.00 ,0.59%,$22.14 ,$137.40 ,$84.03 
,Red Velvet 1lb,$259.90 ,$213.10 ,10,0, , ,-,($46.80),$0.00 ,0.57%,$21.31 ,$142.90 ,$70.20 
,White Forest 1lb,$249.90 ,$204.90 ,10,0, , ,-,($45.00),$0.00 ,0.55%,$20.49 ,$137.40 ,$67.50 
,Alphonso 1lb,$204.67 ,$182.67 ,9,0, , ,-,($22.00),$0.00 ,0.49%,$20.30 ,$108.81 ,$73.86 
,Oreo Crunch 1lb,$155.94 ,$140.34 ,6,0, , ,-,($15.60),$0.00 ,0.38%,$23.39 ,$85.74 ,$54.60 
,Choco Pie 1LB,$124.95 ,$99.95 ,5,0, , ,-,($25.00),$0.00 ,0.27%,$19.99 ,$68.70 ,$31.25 
,Strawberry Delight 1lb,$87.96 ,$87.96 ,4,0, , ,-,$0.00 ,$0.00 ,0.24%,$21.99 ,$48.36 ,$39.60 
,Juicy Pineapple 1lb,$87.96 ,$70.36 ,4,0, , ,-,($17.60),$0.00 ,0.19%,$17.59 ,$48.36 ,$22.00 
,Mango Cheese Cake 1lb,$25.99 ,$20.79 ,1,0, , ,-,($5.20),$0.00 ,0.06%,$20.79 ,$0.00 ,$20.79 
Total (Cake 1LB),,"$4,475.26 ","$3,826.22 ",178,0,-, ,$0.00 ,($649.04),$0.00 ,10.23%,$21.50 ,"$2,400.08 ","$1,426.14 "
,,,,,,,,,,,,,,
Uncategorized,,,,,,,,,,,,,,
,Buns Pav,$483.75 ,$477.75 ,129,0, , ,-,($6.00),$0.00 ,1.28%,$3.70 ,$483.75 ,($6.00)
,Mango Tres Leches,$295.63 ,$287.64 ,37,1, , ,-,$0.00 ,($7.99),0.77%,$7.99 ,$215.64 ,$72.00 
,Cassata Mousse,$215.64 ,$215.64 ,36,0, , ,-,$0.00 ,$0.00 ,0.58%,$5.99 ,$0.00 ,$215.64 
,Paneer Tikka Pizza,$192.50 ,$192.50 ,14,0, , ,-,$0.00 ,$0.00 ,0.51%,$13.75 ,-,-
,Surti Khari,$139.72 ,$139.72 ,28,0, , ,-,$0.00 ,$0.00 ,0.37%,$4.99 ,$84.00 ,$55.72 
,Methi Khari,$79.84 ,$79.84 ,16,0, , ,-,$0.00 ,$0.00 ,0.21%,$4.99 ,$48.00 ,$31.84 
,Sandwich Bread S/W 800,$75.81 ,$75.81 ,19,0, , ,-,$0.00 ,$0.00 ,0.20%,$3.99 ,$0.00 ,$75.81 
,Jeera Khari,$74.85 ,$74.85 ,15,0, , ,-,$0.00 ,$0.00 ,0.20%,$4.99 ,$74.85 ,$0.00 
,Cashew Bite,$52.35 ,$52.35 ,15,0, , ,-,$0.00 ,$0.00 ,0.14%,$3.49 ,$0.00 ,$52.35 
,Mathura Penda 400gm,$49.95 ,$49.95 ,5,0, , ,-,$0.00 ,$0.00 ,0.13%,$9.99 ,$0.00 ,$49.95 
,Veg. Grill Sandwich,$26.97 ,$26.97 ,3,0, , ,-,$0.00 ,$0.00 ,0.07%,$8.99 ,$0.00 ,$26.97 
,Frosting,$24.00 ,$24.00 ,24,0, , ,-,$0.00 ,$0.00 ,0.06%,$1.00 ,$12.00 ,$12.00 
,Custom Item,$23.96 ,$23.96 ,4,0, , ,-,$0.00 ,$0.00 ,0.06%,$5.99 ,-,-
,Surti Pista Ghari 500g,$11.99 ,$11.99 ,1,0, , ,-,$0.00 ,$0.00 ,0.03%,$11.99 ,$0.00 ,$11.99 
,Surti Rajbhog Ghari 500g,$11.99 ,$11.99 ,1,0, , ,-,$0.00 ,$0.00 ,0.03%,$11.99 ,$0.00 ,$11.99 
,Walnut Chocolate Brownie,$11.96 ,$11.96 ,4,0, , ,-,$0.00 ,$0.00 ,0.03%,$2.99 ,$0.00 ,$11.96 
,Custom Item,$10.00 ,$10.00 ,5,0, , ,-,$0.00 ,$0.00 ,0.03%,$2.00 ,-,-
,Kesar Penda 400gm,$9.99 ,$9.99 ,1,0, , ,-,$0.00 ,$0.00 ,0.03%,$9.99 ,$0.00 ,$9.99 
,Casatta Mousse,$5.99 ,$5.99 ,1,0, , ,-,$0.00 ,$0.00 ,0.02%,$5.99 ,$0.00 ,$5.99 
,Custom Item,$5.00 ,$5.00 ,1,0, , ,-,$0.00 ,$0.00 ,0.01%,$5.00 ,-,-
,Custom Item,$4.99 ,$4.99 ,1,0, , ,-,$0.00 ,$0.00 ,0.01%,$4.99 ,-,-
,Frosting Cream Roll,$3.98 ,$3.98 ,2,0, , ,-,$0.00 ,$0.00 ,0.01%,$1.99 ,$0.00 ,$3.98 
,Truti Frutti Pound Cake,$3.49 ,$3.49 ,1,0, , ,-,$0.00 ,$0.00 ,0.01%,$3.49 ,$0.00 ,$3.49 
,Custom Item,$2.69 ,$2.69 ,1,0, , ,-,$0.00 ,$0.00 ,0.01%,$2.69 ,-,-
,Methi Khari 200gm,$2.49 ,$2.49 ,1,0, , ,-,$0.00 ,$0.00 ,0.01%,$2.49 ,$0.00 ,$2.49 
,Vanilla Muffin.,$1.99 ,$1.99 ,1,0, , ,-,$0.00 ,$0.00 ,0.01%,$1.99 ,$0.00 ,$1.99 
,Custom Item,$1.50 ,$1.50 ,1,0, , ,-,$0.00 ,$0.00 ,0.00%,$1.50 ,-,-
,ttps://www.atulbakery.com/namkeen-nadiyadi-mix/,$0.00 ,$0.00 ,1,0, , ,-,$0.00 ,$0.00 ,0%,$0.00 ,-,-
Total (Uncategorized),,"$1,823.02 ","$1,809.03 ",368,1,-, ,$0.00 ,($6.00),($7.99),4.84%,$4.93 ,$918.24 ,$650.15 
,,,,,,,,,,,,,,
Breads,,,,,,,,,,,,,,
,Maska Bun,$357.75 ,$357.75 ,159,0, , ,-,$0.00 ,$0.00 ,0.96%,$2.25 ,$0.00 ,$357.75 
,Vada Dabeli Pav,$354.25 ,$349.13 ,109,0, , ,-,($5.12),$0.00 ,0.93%,$3.20 ,$0.00 ,$349.13 
,Cream Roll Frosting,$99.50 ,$99.50 ,50,0, , ,-,$0.00 ,$0.00 ,0.27%,$1.99 ,$0.00 ,$99.50 
